model,misclassified examples,precision,recall,F1 score,accuracy_train,accuracy_val,accuracy_test,Preprocess,J Setting,wavelet,Oversample
Random Forest,2,0.71,1.0,0.83,1.0,0.5,0.75,preprocess3,11,none,1
XGBoost,2,0.71,1.0,0.83,1.0,0.5,0.75,preprocess3,11,none,1
LogisticRegression,3,0.75,0.6,0.67,1.0,0.62,0.62,preprocess4,7,none,0
Support Vector,2,0.71,1.0,0.83,0.88,0.62,0.75,preprocess4,7,none,0
Random Forest,3,0.67,0.8,0.73,1.0,0.75,0.62,preprocess4,7,none,0
XGBoost,4,0.67,0.4,0.5,1.0,0.62,0.5,preprocess4,7,none,0
LogisticRegression,3,0.75,0.6,0.67,1.0,0.62,0.62,preprocess4,7,none,1
Support Vector,2,0.71,1.0,0.83,0.88,0.62,0.75,preprocess4,7,none,1
Random Forest,2,1.0,0.6,0.75,1.0,0.75,0.75,preprocess4,7,none,1
XGBoost,4,0.67,0.4,0.5,1.0,0.62,0.5,preprocess4,7,none,1
LogisticRegression,1,1.0,0.8,0.89,0.94,0.88,0.88,preprocess4,8,none,0
Support Vector,3,0.67,0.8,0.73,0.78,0.62,0.62,preprocess4,8,none,0
Random Forest,2,0.71,1.0,0.83,1.0,0.88,0.75,preprocess4,8,none,0
XGBoost,3,0.62,1.0,0.77,1.0,0.75,0.62,preprocess4,8,none,0
LogisticRegression,1,1.0,0.8,0.89,0.94,0.88,0.88,preprocess4,8,none,1
Support Vector,3,0.67,0.8,0.73,0.78,0.62,0.62,preprocess4,8,none,1
Random Forest,2,0.71,1.0,0.83,1.0,0.75,0.75,preprocess4,8,none,1
XGBoost,3,0.62,1.0,0.77,1.0,0.75,0.62,preprocess4,8,none,1
LogisticRegression,1,0.83,1.0,0.91,0.88,0.75,0.88,preprocess4,9,none,0
Support Vector,2,0.71,1.0,0.83,0.75,0.62,0.75,preprocess4,9,none,0
Random Forest,2,0.8,0.8,0.8,1.0,1.0,0.75,preprocess4,9,none,0
XGBoost,1,0.83,1.0,0.91,1.0,0.88,0.88,preprocess4,9,none,0
LogisticRegression,1,0.83,1.0,0.91,0.88,0.75,0.88,preprocess4,9,none,1
Support Vector,2,0.71,1.0,0.83,0.75,0.62,0.75,preprocess4,9,none,1
Random Forest,1,0.83,1.0,0.91,1.0,1.0,0.88,preprocess4,9,none,1
XGBoost,1,0.83,1.0,0.91,1.0,0.88,0.88,preprocess4,9,none,1
LogisticRegression,1,0.83,1.0,0.91,0.8,0.88,0.88,preprocess4,10,none,0
Support Vector,2,0.71,1.0,0.83,0.77,0.5,0.75,preprocess4,10,none,0
Random Forest,2,0.8,0.8,0.8,1.0,1.0,0.75,preprocess4,10,none,0
XGBoost,2,0.8,0.8,0.8,1.0,0.88,0.75,preprocess4,10,none,0
LogisticRegression,1,0.83,1.0,0.91,0.8,0.88,0.88,preprocess4,10,none,1
Support Vector,2,0.71,1.0,0.83,0.77,0.5,0.75,preprocess4,10,none,1
Random Forest,2,0.8,0.8,0.8,1.0,1.0,0.75,preprocess4,10,none,1
XGBoost,2,0.8,0.8,0.8,1.0,0.88,0.75,preprocess4,10,none,1
LogisticRegression,3,0.62,1.0,0.77,0.72,0.62,0.62,preprocess4,11,none,0
Support Vector,3,0.62,1.0,0.77,0.62,0.62,0.62,preprocess4,11,none,0
Random Forest,2,0.71,1.0,0.83,1.0,0.62,0.75,preprocess4,11,none,0
XGBoost,4,0.57,0.8,0.67,1.0,0.62,0.5,preprocess4,11,none,0
LogisticRegression,3,0.62,1.0,0.77,0.72,0.62,0.62,preprocess4,11,none,1
Support Vector,3,0.62,1.0,0.77,0.62,0.62,0.62,preprocess4,11,none,1
Random Forest,2,0.71,1.0,0.83,1.0,0.62,0.75,preprocess4,11,none,1
XGBoost,4,0.57,0.8,0.67,1.0,0.62,0.5,preprocess4,11,none,1
